n_iter,learning_rate,batch_size,layers,w0,w1,gate,precision,recall,f1_score
2000,0.1,1000,"[64, 128, 32, 1]",1,1,0.3,0.6493506493506493,0.5263157894736842,0.5813953488372093
2000,0.1,1000,"[64, 128, 32, 1]",1,30,0.3,0.6091954022988506,0.5578947368421052,0.5824175824175823
2000,0.1,1000,"[64, 128, 32, 1]",1,1,0.5,0.6268656716417911,0.4421052631578947,0.5185185185185185
2000,0.1,1000,"[64, 128, 32, 1]",1,30,0.5,0.8717948717948718,0.35789473684210527,0.5074626865671642
6000,0.1,1000,"[64, 128, 32, 1]",1,1,0.3,0.6111111111111112,0.6947368421052632,0.6502463054187193
6000,0.1,1000,"[64, 128, 32, 1]",1,30,0.3,0.532258064516129,0.6947368421052632,0.6027397260273973
6000,0.1,1000,"[64, 128, 32, 1]",1,1,0.5,0.65625,0.6631578947368421,0.6596858638743456
6000,0.1,1000,"[64, 128, 32, 1]",1,30,0.5,0.7307692307692307,0.6,0.6589595375722542

1000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.8926615553121577,0.8791801510248112,0.8858695652173912
1000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.8926615553121577,0.8791801510248112,0.8858695652173912
2000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.8183754183145726,0.9672779575692197,0.8866183256427159
2000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.8990147783251231,0.9187342682488313,0.9087675617997509
2000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.2918149466192171,0.8631578947368421,0.43617021276595747
2000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.26557377049180325,0.8526315789473684,0.4049999999999999
3000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.2793103448275862,0.8526315789473684,0.4207792207792208
3000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.29,0.8055555555555556,0.4264705882352941
3000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.30303030303030304,0.8333333333333334,0.4444444444444444
10000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.4,0.9444444444444444,0.5619834710743801
1000,0.01,1000,"[256, 64, 16, 1]",1,1,0.5,0.10939907550077041,0.7473684210526316,0.1908602150537634
1000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.25732899022801303,0.8315789473684211,0.39303482587064675

1000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.21388888888888888,0.8105263157894737,0.3384615384615384
1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.19285714285714287,0.8526315789473684,0.3145631067961165
1000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.1455160744500846,0.9052631578947369,0.2507288629737609
1000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.18693693693693694,0.8736842105263158,0.3079777365491651
1000,0.1,500,"[256, 64, 16, 1]",1,1,0.5,0.29296875,0.7894736842105263,0.42735042735042733
1000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.25732899022801303,0.8315789473684211,0.39303482587064675
1000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.05182567726737338,0.9263157894736842,0.09815950920245399

1000,0.1,20,"[256, 64, 16, 1]",1,1,0.5,0.05269607843137255,0.9052631578947369,0.09959467284308049
1000,0.01,20,"[256, 64, 16, 1]",1,1,0.5,0.04770531400966183,0.8315789473684211,0.09023415191319245
1000,0.01,100,"[256, 64, 16, 1]",1,1,0.5,0.04655172413793104,0.8526315789473684,0.088283378746594


1000,0.01,100,"[256, 64, 16, 1]",1,1,0.5,0.082389289392379,0.8421052631578947,0.150093808630394
1000,0.1,20,"[256, 64, 16, 1]",1,1,0.5,0.1601642710472279,0.8210526315789474,0.2680412371134021
1000,0.1,20,"[64, 16, 1]",1,1,0.5,0.14785992217898833,0.8,0.24958949096880131
1000,0.1,20,"[64, 16, 1]",1,1,0.5,0.14785992217898833,0.8,0.24958949096880131
10000,0.1,20,"[64, 16, 1]",1,1,0.5,0.14756944444444445,0.8947368421052632,0.25335320417287627
10000,0.1,20,"[64, 16, 1]",1,1,0.5,0.24742268041237114,0.7578947368421053,0.37305699481865284
1000,0.1,20,"[64, 16, 1]",1,1,0.5,0.08797653958944282,0.9473684210526315,0.16100178890876568
1000,0.1,20,"[256, 64, 16, 1]",1,1,0.5,0.14690265486725665,0.8736842105263158,0.2515151515151515
1000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.21739130434782608,0.7894736842105263,0.3409090909090909
1000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.22123893805309736,0.7894736842105263,0.34562211981566826
10000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.25,0.7894736842105263,0.379746835443038
10000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.3544973544973545,0.7052631578947368,0.47183098591549294
1000,0.1,1000,"[256, 64, 16, 1]",1,1,0.5,0.218562874251497,0.7684210526315789,0.34032634032634035
1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.22968197879858657,0.6842105263157895,0.34391534391534395
10000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.4628099173553719,0.5894736842105263,0.5185185185185186
50000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.436241610738255,0.6842105263157895,0.5327868852459017


2000,0.1,32,"[64, 128, 32, 1]",1,1,0.5,0.16523235800344235,0.9142857142857143,0.27988338192419826
2000,0.1,100,"[64, 128, 32, 1]",1,1,0.5,0.23058252427184467,0.9047619047619048,0.367504835589942
2000,0.1,500,"[64, 128, 32, 1]",1,1,0.5,0.2716417910447761,0.8666666666666667,0.4136363636363636
2000,0.1,1000,"[64, 128, 32, 1]",1,1,0.5,0.38571428571428573,0.7714285714285715,0.5142857142857142
6000,0.1,32,"[64, 128, 32, 1]",1,1,0.5,0.3880597014925373,0.7428571428571429,0.5098039215686275
6000,0.1,100,"[64, 128, 32, 1]",1,1,0.5,0.34,0.8095238095238095,0.47887323943661975
6000,0.1,500,"[64, 128, 32, 1]",1,1,0.5,0.3601694915254237,0.8095238095238095,0.49853372434017595
6000,0.1,1000,"[64, 128, 32, 1]",1,1,0.5,0.39908256880733944,0.8285714285714286,0.5386996904024768
10000,0.1,32,"[64, 128, 32, 1]",1,1,0.5,0.3333333333333333,0.8857142857142857,0.48437499999999994
10000,0.1,100,"[64, 128, 32, 1]",1,1,0.5,0.36254980079681276,0.8666666666666667,0.5112359550561797
10000,0.1,500,"[64, 128, 32, 1]",1,1,0.5,0.3357664233576642,0.8761904761904762,0.48548812664907653
10000,0.1,1000,"[64, 128, 32, 1]",1,1,0.5,0.4594594594594595,0.8095238095238095,0.5862068965517242
50000,0.1,32,"[64, 128, 32, 1]",1,1,0.5,0.5192307692307693,0.7714285714285715,0.6206896551724139
50000,0.1,100,"[64, 128, 32, 1]",1,1,0.5,0.7238095238095238,0.7238095238095238,0.7238095238095238
50000,0.1,500,"[64, 128, 32, 1]",1,1,0.5,0.6754385964912281,0.7333333333333333,0.7031963470319634
50000,0.1,1000,"[64, 128, 32, 1]",1,1,0.5,0.39285714285714285,0.8380952380952381,0.5349544072948328
100000,0.1,32,"[64, 128, 32, 1]",1,1,0.5,0.5263157894736842,0.6666666666666666,0.5882352941176471
100000,0.1,100,"[64, 128, 32, 1]",1,1,0.5,0.5214285714285715,0.6952380952380952,0.5959183673469387
100000,0.1,500,"[64, 128, 32, 1]",1,1,0.5,0.6491228070175439,0.7047619047619048,0.6757990867579909
100000,0.1,1000,"[64, 128, 32, 1]",1,1,0.5,0.5948275862068966,0.6571428571428571,0.6244343891402715


1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0,0.0,0
2000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.5774647887323944,0.3904761904761905,0.4659090909090909
2000,0.1,100,"[256, 64, 16, 1]",1,1,0.5,0.7254901960784313,0.3523809523809524,0.47435897435897445
2000,0.1,500,"[256, 64, 16, 1]",1,1,0.5,0.6721311475409836,0.3904761904761905,0.49397590361445776
2000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,1.0,0.9615384615384616,0.9803921568627451


1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.9705882352941176,0.9519230769230769,0.9611650485436893


1000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.99,0.9519230769230769,0.9705882352941176
1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.9705882352941176,0.9519230769230769,0.9611650485436893
1000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,1.0,0.9326923076923077,0.9651741293532339


1000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.8627036813518407,0.9629504883799259,0.9100748050294446
1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.8490288404944085,0.9717076456719435,0.9062352756400189
1000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.8167092924126172,0.968002694509936,0.8859432799013565
2000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.9257670735730782,0.9450993600538902,0.9353333333333332
5000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.907981220657277,0.9770966655439542,0.9412719013627515
1000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.2507836990595611,0.7619047619047619,0.3773584905660377
1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.08380338436744561,0.9904761904761905,0.15453194650817237
1000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.17422867513611615,0.9142857142857143,0.29268292682926833
2000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.16086235489220563,0.9238095238095239,0.2740112994350282
2000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.28205128205128205,0.8380952380952381,0.42206235011990406
2000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.23796791443850268,0.8476190476190476,0.37160751565762007
3000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.20495495495495494,0.8666666666666667,0.331511839708561
3000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.15323854660347552,0.9238095238095239,0.2628726287262873
3000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.16974169741697417,0.8761904761904762,0.2843894899536322


1000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.2507836990595611,0.7619047619047619,0.3773584905660377
1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.08380338436744561,0.9904761904761905,0.15453194650817237
1000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.17422867513611615,0.9142857142857143,0.29268292682926833


1000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.2507836990595611,0.7619047619047619,0.3773584905660377
1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.08380338436744561,0.9904761904761905,0.15453194650817237
1000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.17422867513611615,0.9142857142857143,0.29268292682926833
2000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.16086235489220563,0.9238095238095239,0.2740112994350282
2000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.28205128205128205,0.8380952380952381,0.42206235011990406
2000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.23796791443850268,0.8476190476190476,0.37160751565762007
5000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.21728971962616822,0.8857142857142857,0.348968105065666
5000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.15584415584415584,0.9142857142857143,0.26629680998613037
5000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.23772609819121446,0.8761904761904762,0.3739837398373984
10000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.20666666666666667,0.8857142857142857,0.33513513513513515
10000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.20562770562770563,0.9047619047619048,0.3350970017636684
10000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.22572815533980584,0.8857142857142857,0.35976789168278533


5000,0.01,50,"[256, 64, 16, 1]",1,1,0.5,0.1660958904109589,0.9238095238095239,0.2815674891146589
1000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.4155844155844156,0.6095238095238096,0.4942084942084942
1000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.2682926829268293,0.7333333333333333,0.3928571428571429
1000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.2507462686567164,0.8,0.38181818181818183
2000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.19238476953907815,0.9142857142857143,0.3178807947019867
2000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.15432098765432098,0.9523809523809523,0.2656042496679947
2000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.32113821138211385,0.7523809523809524,0.45014245014245013
5000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.2585227272727273,0.8666666666666667,0.3982494529540482
5000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.44642857142857145,0.7142857142857143,0.5494505494505495
5000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.28888888888888886,0.8666666666666667,0.43333333333333335
10000,0.1,16,"[256, 64, 16, 1]",1,1,0.5,0.395,0.7523809523809524,0.518032786885246
10000,0.1,32,"[256, 64, 16, 1]",1,1,0.5,0.37719298245614036,0.819047619047619,0.5165165165165164
10000,0.1,50,"[256, 64, 16, 1]",1,1,0.5,0.3644067796610169,0.819047619047619,0.5043988269794721
